time,size,direction
0.0,78.0,1.0
0.000182,78.0,1.0
0.0475803,178.0,-1.0
0.0475803,179.0,-1.0
0.0483456,66.0,1.0
0.1246675,164.0,1.0
0.2087577,66.0,-1.0
0.2089617,54.0,1.0
0.2096179,1494.0,1.0
0.2096179,714.0,1.0
0.2311177,164.0,-1.0
0.2556593,74.0,1.0
0.2804437,54.0,1.0
0.2885235,359.0,-1.0
0.2931983,66.0,1.0
0.3461417,66.0,-1.0
0.3462941,54.0,1.0
0.3504332,518.0,1.0
0.369585,54.0,-1.0
0.369585,54.0,-1.0
0.369585,208.0,-1.0
0.3719576,105.0,1.0
0.3721055,153.0,1.0
0.3722942,771.0,1.0
0.404222,2934.0,-1.0
0.404222,1131.0,-1.0
0.4044177,54.0,1.0
0.4222438,212.0,1.0
0.4760965,105.0,-1.0
0.4793523,346.0,1.0
0.4794307,1494.0,1.0
0.4794307,1494.0,1.0
0.4794307,1494.0,1.0
0.4794307,1494.0,1.0
0.4794307,1212.0,1.0
0.5324976,54.0,-1.0
0.5324976,123.0,-1.0
0.5324976,54.0,-1.0
0.5324976,54.0,-1.0
0.5324976,92.0,-1.0
0.5326713,54.0,1.0
0.5333019,92.0,1.0
0.5337097,54.0,-1.0
0.5337097,54.0,-1.0
0.5541873,724.0,-1.0
0.5541873,92.0,-1.0
0.5542974,54.0,1.0
0.6519674,55.0,1.0
0.6931722,54.0,-1.0
0.7887368,13014.0,-1.0
0.7888627,54.0,1.0
0.789235,4374.0,-1.0
0.78931,54.0,1.0
0.8421323,1494.0,-1.0
0.8421323,1355.0,-1.0
0.8422331,54.0,1.0
0.8752229,66.0,1.0
0.8889529,83.0,1.0
0.9222425,365.0,-1.0
0.9232474,66.0,1.0
0.9232474,66.0,1.0
0.9751114,66.0,-1.0
0.9751114,66.0,-1.0
0.9752479,54.0,1.0
0.9752842,54.0,1.0
0.9768547,509.0,1.0
0.9769389,509.0,1.0
1.0300187,5814.0,-1.0
1.0300187,5814.0,-1.0
1.0300187,610.0,-1.0
1.0300187,610.0,-1.0
1.0301559,54.0,1.0
1.0301953,54.0,1.0
1.0351589,66.0,-1.0
1.0352669,54.0,1.0
1.0357138,1494.0,1.0
1.0357138,438.0,1.0
1.0382982,134.0,1.0
1.0385174,618.0,1.0
