time,size,direction
0.0,55.0,1.0
0.007181,66.0,-1.0
0.6854873,55.0,1.0
0.7319964,54.0,1.0
0.7337443,66.0,-1.0
0.9986868,164.0,1.0
1.1093753,168.0,-1.0
1.1101366,164.0,1.0
1.1110102,164.0,-1.0
1.1541549,54.0,1.0
1.1548147,54.0,-1.0
1.2007099,55.0,1.0
1.3467489,66.0,-1.0
1.826594,55.0,1.0
1.8370757,66.0,-1.0
2.1333108,55.0,1.0
2.1666623,66.0,-1.0
2.2151726,55.0,1.0
2.2651635,54.0,-1.0
2.4122697,55.0,1.0
2.4618161,54.0,-1.0
6.1168165,164.0,1.0
6.2319563,54.0,-1.0
6.2319563,164.0,-1.0
6.2784283,54.0,1.0
6.6180635,55.0,1.0
6.6503591,55.0,1.0
6.6504414,55.0,1.0
6.6604531,66.0,-1.0
6.6604531,66.0,-1.0
6.6824161,55.0,1.0
6.6982856,55.0,1.0
6.7152364,66.0,-1.0
6.7257804,55.0,1.0
6.7315347,66.0,-1.0
6.7758701,54.0,-1.0
6.9896826,54.0,1.0
7.1032352,55.0,1.0
7.4721391,66.0,-1.0
8.7528428,189.0,1.0
8.7529407,1266.0,1.0
8.9746943,54.0,-1.0
8.9746943,96.0,-1.0
8.9746943,326.0,-1.0
8.9747693,54.0,1.0
9.8931855,55.0,1.0
10.0501064,55.0,1.0
10.3452534,55.0,1.0
10.3551504,66.0,-1.0
10.7026689,55.0,1.0
10.7338682,55.0,1.0
10.7444111,66.0,-1.0
10.7504903,71.0,1.0
10.782756,67.0,-1.0
11.2376842,164.0,1.0
11.2540916,164.0,-1.0
11.2989059,54.0,1.0
11.7204185,55.0,1.0
12.4626204,55.0,1.0
12.4695609,66.0,-1.0
12.4780673,55.0,1.0
12.5297457,54.0,-1.0
