time,size,direction
0.0,164.0,1.0
0.1221428,164.0,-1.0
0.1715471,54.0,1.0
0.2026977,54.0,1.0
2.9240687,55.0,1.0
2.9497095,66.0,-1.0
2.9703975,55.0,1.0
3.0033013,66.0,-1.0
3.4454477,55.0,1.0
3.495831,66.0,-1.0
4.8220707,55.0,1.0
4.8900165,66.0,-1.0
4.9608709,55.0,1.0
4.9608696,55.0,1.0
4.9608764,55.0,1.0
4.9769586,55.0,1.0
5.1346928,164.0,1.0
5.2345082,168.0,-1.0
5.2349461,164.0,1.0
5.2386818,164.0,-1.0
5.2895032,54.0,1.0
5.4309731,55.0,1.0
5.4801069,66.0,-1.0
7.0672431,55.0,1.0
7.1669896,66.0,-1.0
8.9428513,98.0,1.0
8.9429968,98.0,1.0
8.9905832,183.0,-1.0
8.9905832,114.0,-1.0
8.9914416,66.0,1.0
9.2520156,66.0,1.0
9.9925444,66.0,1.0
