time,size,direction
0.0,54.0,1.0
0.6022548,164.0,1.0
0.7083526,54.0,-1.0
0.7083526,164.0,-1.0
0.7511806,54.0,1.0
2.5226811,1292.0,1.0
2.5227585,1292.0,1.0
2.522956,66.0,1.0
2.5712787,66.0,-1.0
2.5712787,82.0,-1.0
2.5712787,1292.0,-1.0
2.5714309,54.0,1.0
2.571973,1292.0,-1.0
2.571973,1292.0,-1.0
2.571973,1292.0,-1.0
2.572459,1466.0,1.0
2.572459,898.0,1.0
2.5727337,1292.0,-1.0
2.5727337,1292.0,-1.0
2.5729439,1292.0,1.0
2.5730174,81.0,1.0
2.5828143,82.0,1.0
2.6043748,54.0,-1.0
2.6043748,54.0,-1.0
2.6043748,212.0,-1.0
2.6057003,131.0,1.0
2.6057912,116.0,1.0
2.6060162,1288.0,1.0
2.6060536,1292.0,1.0
2.6060905,1292.0,1.0
2.6061158,1292.0,1.0
2.606126,1466.0,-1.0
2.606126,128.0,-1.0
2.606142,1292.0,1.0
2.606164,1292.0,1.0
2.6061842,54.0,1.0
2.6061984,1292.0,1.0
2.6062287,1292.0,1.0
2.6063039,1292.0,1.0
2.6063579,215.0,1.0
2.6067399,144.0,1.0
2.6380403,998.0,-1.0
2.6380403,163.0,-1.0
2.6380403,69.0,-1.0
2.6380403,65.0,-1.0
2.6383292,73.0,1.0
2.6386864,65.0,-1.0
2.6386864,65.0,-1.0
2.6386864,65.0,-1.0
2.6386864,1058.0,-1.0
2.6662175,66.0,-1.0
2.6666874,73.0,1.0
2.6930789,54.0,1.0
2.9430412,687.0,-1.0
2.9477776,1186.0,-1.0
2.9479842,77.0,1.0
2.9537115,101.0,-1.0
2.9907514,74.0,1.0
3.0060837,66.0,-1.0
3.0194169,64.0,-1.0
3.0196195,75.0,1.0
3.2151322,54.0,1.0
4.4172632,71.0,1.0
4.4744821,66.0,-1.0
5.7233661,164.0,1.0
5.8282949,164.0,-1.0
5.8807515,54.0,1.0
8.897782,70.0,1.0
8.9506526,121.0,-1.0
8.9542535,66.0,1.0
8.9851633,66.0,-1.0
8.9852924,54.0,1.0
8.9855136,254.0,1.0
9.0168416,54.0,-1.0
9.0168416,276.0,-1.0
9.0229882,74.0,1.0
9.0608678,179.0,-1.0
9.0622542,66.0,1.0
9.0703256,54.0,1.0
9.0724521,66.0,-1.0
9.0725262,54.0,1.0
9.0727951,281.0,1.0
9.0824627,54.0,-1.0
9.0824627,317.0,-1.0
9.0889434,83.0,1.0
9.1258007,297.0,-1.0
9.1265942,66.0,1.0
9.1322997,54.0,1.0
9.1365931,66.0,-1.0
9.1366894,54.0,1.0
9.1369385,342.0,1.0
9.1460161,54.0,-1.0
9.1473399,322.0,-1.0
9.1546082,336.0,1.0
9.1649008,54.0,-1.0
9.1649008,322.0,-1.0
9.2146005,54.0,1.0
9.3851305,55.0,1.0
9.3903736,54.0,-1.0
9.4104814,74.0,1.0
9.4456022,230.0,-1.0
