time,size,direction
0.0,164.0,1.0
0.1255447,164.0,-1.0
0.173251,54.0,1.0
1.0359047,54.0,1.0
2.028805,54.0,1.0
5.1417024,164.0,1.0
5.2048185,164.0,-1.0
5.2504697,54.0,1.0
5.2660701,55.0,1.0
5.8765388,276.0,-1.0
5.8765388,210.0,-1.0
5.8766977,54.0,1.0
6.8010279,98.0,1.0
6.8011824,98.0,1.0
6.8353947,114.0,-1.0
6.8353947,183.0,-1.0
6.8364752,66.0,1.0
7.1015308,66.0,1.0
7.3632536,80.0,1.0
7.3995711,192.0,-1.0
7.4041312,66.0,1.0
7.4151101,66.0,-1.0
7.4152297,54.0,1.0
7.4181895,524.0,1.0
7.4286355,54.0,-1.0
7.4286355,2934.0,-1.0
7.4288272,54.0,1.0
7.4293901,1270.0,-1.0
7.4293901,1194.0,-1.0
7.429478,54.0,1.0
7.4316688,134.0,1.0
7.4338395,134.0,1.0
7.4338833,169.0,1.0
7.4427555,660.0,-1.0
7.4428324,54.0,1.0
7.443829,54.0,-1.0
7.4448979,115.0,-1.0
7.4448979,85.0,-1.0
7.4448979,211.0,-1.0
7.4448979,85.0,-1.0
7.4449306,54.0,1.0
7.4451048,85.0,1.0
7.4452316,54.0,1.0
7.4557424,78.0,-1.0
7.4557424,54.0,-1.0
7.4558081,54.0,1.0
7.8506067,66.0,1.0
8.1168094,66.0,1.0
9.8638403,66.0,1.0
10.127632,66.0,1.0
10.8788023,164.0,1.0
10.9095887,168.0,-1.0
10.9095887,164.0,-1.0
10.909748,54.0,1.0
10.9101542,164.0,1.0
10.9538327,54.0,-1.0
