frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,164,192.168.0.119,192.168.0.105
0.101709500,164,192.168.0.105,192.168.0.119
0.142673300,54,192.168.0.119,192.168.0.105
2.792109900,42,,
2.792166100,42,,
3.698521700,140,192.168.0.119,52.201.13.86
3.698611600,100,192.168.0.119,52.201.13.86
3.698639900,1494,192.168.0.119,52.201.13.86
3.698639900,834,192.168.0.119,52.201.13.86
4.096616200,1494,192.168.0.119,52.201.13.86
4.129302500,54,52.201.13.86,192.168.0.119
4.129302500,100,52.201.13.86,192.168.0.119
4.129302500,54,52.201.13.86,192.168.0.119
4.129302500,259,52.201.13.86,192.168.0.119
4.129521600,54,192.168.0.119,52.201.13.86
4.395488800,66,52.201.13.86,192.168.0.119
5.112730200,164,192.168.0.119,192.168.0.105
5.222714900,164,192.168.0.105,192.168.0.119
5.276527600,54,192.168.0.119,192.168.0.105
7.405549300,1251,192.168.0.119,44.199.181.5
7.405605600,1494,192.168.0.119,44.199.181.5
7.405605600,273,192.168.0.119,44.199.181.5
7.703118300,54,44.199.181.5,192.168.0.119
7.709015800,670,44.199.181.5,192.168.0.119
7.758146700,54,192.168.0.119,44.199.181.5
9.259700300,71,192.168.0.119,142.250.193.100
9.316761500,66,142.250.193.100,192.168.0.119
10.225301100,164,192.168.0.119,192.168.0.105
10.343421100,164,192.168.0.105,192.168.0.119
10.383924200,54,192.168.0.119,192.168.0.105
