frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,55,192.168.0.119,104.16.80.73
0.007181000,66,104.16.80.73,192.168.0.119
0.685487300,55,192.168.0.119,151.101.193.44
0.731996400,54,192.168.0.119,35.153.98.116
0.733744300,66,151.101.193.44,192.168.0.119
0.998686800,164,192.168.0.119,192.168.0.105
1.109375300,168,192.168.0.105,192.168.0.119
1.110136600,164,192.168.0.119,192.168.0.105
1.111010200,164,192.168.0.105,192.168.0.119
1.154154900,54,192.168.0.119,192.168.0.105
1.154814700,54,192.168.0.105,192.168.0.119
1.200709900,55,192.168.0.119,35.213.7.90
1.346748900,66,35.213.7.90,192.168.0.119
1.826594000,55,192.168.0.119,54.192.151.55
1.837075700,66,54.192.151.55,192.168.0.119
2.133310800,55,192.168.0.119,35.244.159.8
2.166662300,66,35.244.159.8,192.168.0.119
2.215172600,55,192.168.0.119,67.199.150.82
2.265163500,54,67.199.150.82,192.168.0.119
2.412269700,55,192.168.0.119,69.173.158.64
2.461816100,54,69.173.158.64,192.168.0.119
6.116816500,164,192.168.0.119,192.168.0.105
6.231956300,54,192.168.0.105,192.168.0.119
6.231956300,164,192.168.0.105,192.168.0.119
6.278428300,54,192.168.0.119,192.168.0.105
6.618063500,55,192.168.0.119,44.199.180.130
6.650359100,55,192.168.0.119,13.35.14.80
6.650441400,55,192.168.0.119,3.164.36.30
6.660453100,66,13.35.14.80,192.168.0.119
6.660453100,66,3.164.36.30,192.168.0.119
6.682416100,55,192.168.0.119,142.250.182.98
6.698285600,55,192.168.0.119,34.107.254.252
6.715236400,66,142.250.182.98,192.168.0.119
6.725780400,55,192.168.0.119,207.65.33.86
6.731534700,66,34.107.254.252,192.168.0.119
6.775870100,54,207.65.33.86,192.168.0.119
6.989682600,54,192.168.0.119,35.153.98.116
7.103235200,55,192.168.0.119,3.174.18.122
7.472139100,66,3.174.18.122,192.168.0.119
8.752842800,189,192.168.0.119,141.226.228.48
8.752940700,1266,192.168.0.119,141.226.228.48
8.974694300,54,141.226.228.48,192.168.0.119
8.974694300,96,141.226.228.48,192.168.0.119
8.974694300,326,141.226.228.48,192.168.0.119
8.974769300,54,192.168.0.119,141.226.228.48
9.893185500,55,192.168.0.119,44.215.138.159
10.050106400,55,192.168.0.119,44.215.138.159
10.345253400,55,192.168.0.119,18.67.233.33
10.355150400,66,18.67.233.33,192.168.0.119
10.702668900,55,192.168.0.119,44.199.180.130
10.733868200,55,192.168.0.119,35.71.178.8
10.744411100,66,35.71.178.8,192.168.0.119
10.750490300,71,192.168.0.119,142.251.154.119
10.782756000,67,142.251.154.119,192.168.0.119
11.237684200,164,192.168.0.119,192.168.0.105
11.254091600,164,192.168.0.105,192.168.0.119
11.298905900,54,192.168.0.119,192.168.0.105
11.720418500,55,192.168.0.119,54.220.165.75
12.462620400,55,192.168.0.119,104.18.34.190
12.469560900,66,104.18.34.190,192.168.0.119
12.478067300,55,192.168.0.119,69.173.158.64
12.529745700,54,69.173.158.64,192.168.0.119
