frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,164,192.168.0.119,192.168.0.105
0.122142800,164,192.168.0.105,192.168.0.119
0.171547100,54,192.168.0.119,192.168.0.105
0.202697700,54,192.168.0.119,224.0.0.22
2.924068700,55,192.168.0.119,172.64.153.66
2.949709500,66,172.64.153.66,192.168.0.119
2.970397500,55,192.168.0.119,34.111.72.164
3.003301300,66,34.111.72.164,192.168.0.119
3.445447700,55,192.168.0.119,34.111.72.164
3.495831000,66,34.111.72.164,192.168.0.119
4.822070700,55,192.168.0.119,185.199.111.154
4.890016500,66,185.199.111.154,192.168.0.119
4.960870900,55,192.168.0.119,34.149.43.113
4.960869600,55,192.168.0.119,34.149.43.113
4.960876400,55,192.168.0.119,34.149.43.113
4.976958600,55,192.168.0.119,34.149.43.113
5.134692800,164,192.168.0.119,192.168.0.105
5.234508200,168,192.168.0.105,192.168.0.119
5.234946100,164,192.168.0.119,192.168.0.105
5.238681800,164,192.168.0.105,192.168.0.119
5.289503200,54,192.168.0.119,192.168.0.105
5.430973100,55,192.168.0.119,185.199.111.154
5.480106900,66,185.199.111.154,192.168.0.119
7.067243100,55,192.168.0.119,172.253.118.188
7.166989600,66,172.253.118.188,192.168.0.119
8.942851300,98,192.168.0.119,192.168.0.1
8.942996800,98,192.168.0.119,192.168.0.1
8.990583200,183,192.168.0.1,192.168.0.119
8.990583200,114,192.168.0.1,192.168.0.119
8.991441600,66,192.168.0.119,164.90.208.185
9.252015600,66,192.168.0.119,164.90.208.185
9.992544400,66,192.168.0.119,164.90.208.185
