frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,164,192.168.0.119,192.168.0.105
0.048968700,168,192.168.0.105,192.168.0.119
0.049766400,164,192.168.0.119,192.168.0.105
0.053365800,54,192.168.0.105,192.168.0.119
0.053365800,164,192.168.0.105,192.168.0.119
0.107146500,54,192.168.0.119,192.168.0.105
3.181094100,71,192.168.0.119,142.250.193.100
3.257462100,68,142.250.193.100,192.168.0.119
3.306303700,55,192.168.0.119,23.58.120.201
3.316070400,66,23.58.120.201,192.168.0.119
3.340341500,55,192.168.0.119,23.58.120.201
3.350211400,66,23.58.120.201,192.168.0.119
3.454074800,55,192.168.0.119,142.250.182.46
3.486019700,66,142.250.182.46,192.168.0.119
4.922071000,55,192.168.0.119,142.250.193.74
4.973197000,66,142.250.193.74,192.168.0.119
5.055348600,164,192.168.0.119,192.168.0.105
5.117461400,164,192.168.0.105,192.168.0.119
5.158088000,54,192.168.0.119,192.168.0.105
5.821955700,55,192.168.0.119,142.250.182.46
5.871898200,66,142.250.182.46,192.168.0.119
6.639479300,55,192.168.0.119,142.250.182.238
6.688819600,66,142.250.182.238,192.168.0.119
6.843196200,86,192.168.0.119,192.168.0.1
6.843507900,86,192.168.0.119,192.168.0.1
6.875787300,160,192.168.0.1,192.168.0.119
6.875787300,366,192.168.0.1,192.168.0.119
6.876970300,1292,192.168.0.119,142.250.193.110
6.877018800,1292,192.168.0.119,142.250.193.110
6.877127600,123,192.168.0.119,142.250.193.110
6.909126600,82,142.250.193.110,192.168.0.119
6.909126600,1292,142.250.193.110,192.168.0.119
6.910674900,1292,142.250.193.110,192.168.0.119
6.910674900,324,142.250.193.110,192.168.0.119
6.910674900,1008,142.250.193.110,192.168.0.119
6.911320000,120,192.168.0.119,142.250.193.110
6.911405800,73,192.168.0.119,142.250.193.110
6.911567600,460,192.168.0.119,142.250.193.110
6.934614000,67,142.250.193.110,192.168.0.119
6.943146700,162,142.250.193.110,192.168.0.119
6.943146700,71,142.250.193.110,192.168.0.119
6.943461000,73,192.168.0.119,142.250.193.110
7.017167900,262,142.250.193.110,192.168.0.119
7.017167900,110,142.250.193.110,192.168.0.119
7.017167900,118,142.250.193.110,192.168.0.119
7.017623600,77,192.168.0.119,142.250.193.110
7.046219100,74,192.168.0.119,142.250.193.110
7.074152800,66,142.250.193.110,192.168.0.119
