frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,66,192.168.0.119,164.90.208.185
3.239330600,1292,192.168.0.119,142.251.222.78
3.239417500,1292,192.168.0.119,142.251.222.78
3.239466400,1292,192.168.0.119,142.251.222.78
3.239611000,123,192.168.0.119,142.251.222.78
3.309091100,82,142.251.222.78,192.168.0.119
3.309091100,82,142.251.222.78,192.168.0.119
3.310153700,1292,142.251.222.78,192.168.0.119
3.310153700,1292,142.251.222.78,192.168.0.119
3.310153700,1292,142.251.222.78,192.168.0.119
3.310153700,321,142.251.222.78,192.168.0.119
3.310153700,986,142.251.222.78,192.168.0.119
3.310680800,120,192.168.0.119,142.251.222.78
3.310927200,73,192.168.0.119,142.251.222.78
3.311086500,1288,192.168.0.119,142.251.222.78
3.311122500,1244,192.168.0.119,142.251.222.78
3.335301400,67,142.251.222.78,192.168.0.119
3.363102900,162,142.251.222.78,192.168.0.119
3.364833800,71,142.251.222.78,192.168.0.119
3.364833800,67,142.251.222.78,192.168.0.119
3.365237000,74,192.168.0.119,142.251.222.78
3.435689900,1288,142.251.222.78,192.168.0.119
3.435689900,1094,142.251.222.78,192.168.0.119
3.435689900,63,142.251.222.78,192.168.0.119
3.436348900,77,192.168.0.119,142.251.222.78
3.461880600,74,192.168.0.119,142.251.222.78
3.513798000,65,142.251.222.78,192.168.0.119
3.745740400,66,192.168.0.119,164.90.208.185
4.005945100,66,192.168.0.119,164.90.208.185
4.239495800,127,142.250.183.195,192.168.0.119
4.281905400,54,192.168.0.119,142.250.183.195
4.761124500,164,192.168.0.119,192.168.0.105
4.798232000,168,192.168.0.105,192.168.0.119
4.798705600,164,192.168.0.119,192.168.0.105
4.801718900,54,192.168.0.105,192.168.0.119
4.801718900,54,192.168.0.105,192.168.0.119
4.801718900,164,192.168.0.105,192.168.0.119
4.853496100,54,192.168.0.119,192.168.0.105
9.295157700,110,142.250.183.195,192.168.0.119
9.295157700,54,142.250.183.195,192.168.0.119
9.295259200,54,192.168.0.119,142.250.183.195
9.318846800,838,192.168.0.105,192.168.0.119
9.327377800,838,192.168.0.105,192.168.0.119
9.327515800,54,192.168.0.119,192.168.0.105
10.123579200,55,192.168.0.119,103.120.164.97
10.768708800,168,192.168.0.105,192.168.0.119
10.769503700,164,192.168.0.119,192.168.0.105
10.813843900,54,192.168.0.105,192.168.0.119
11.759376000,66,192.168.0.119,164.90.208.185
12.020429700,66,192.168.0.119,164.90.208.185
